"Story","Title","Result","Date","Stability","Duration (s)"
"Weather","Verify the Weather Hover screen details with Main page details","ERROR","2019-08-21T00:58:27.464+05:30[Asia/Calcutta]","0.0","581.91"
"Weather","Verify token cliamed and weather sections in weather page","ERROR","2019-08-21T01:08:09.553+05:30[Asia/Calcutta]","0.0","157.13"
"Weather","Verify the Hourly Forecast section details with Ad refresh","FAILURE","2019-08-21T01:10:46.888+05:30[Asia/Calcutta]","0.0","119.73"
"Weather","Verify the Daily forecast section details with Ad refresh","ERROR","2019-08-21T01:12:46.746+05:30[Asia/Calcutta]","0.0","109.18"
