"Story","Title","Result","Date","Stability","Duration (s)"
"Ads","Verify ads on Video page","ERROR","2019-08-20T22:15:09.574+05:30[Asia/Calcutta]","0.0","388.51"
"Ads","Verify ads on Weather page","ERROR","2019-08-20T22:21:38.257+05:30[Asia/Calcutta]","0.0","110.27"
"Ads","Verify ads on Lottery page","ERROR","2019-08-20T22:23:28.701+05:30[Asia/Calcutta]","0.0","116.54"
"Ads","Verify ads on Sub category pages","ERROR","2019-08-20T22:25:25.439+05:30[Asia/Calcutta]","0.0","108.8"
"Ads","Verify ads on Article page","ERROR","2019-08-20T22:27:14.363+05:30[Asia/Calcutta]","0.0","117.1"
"Ads","verify the Interstitial ads while navigating to different articles","ERROR","2019-08-20T22:29:11.609+05:30[Asia/Calcutta]","0.0","85.61"
